17:19:52 INFO  manager.ApplicationManager - All tests start in Chrome
17:20:29 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //*[text()='Forms']/ancestor::div[3]
17:20:29 INFO  manager.MyListener - Element with locator-->By.xpath: //*[text()='Forms']/ancestor::div[3] was found
17:20:30 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: div.element-list.collapse.show
17:20:30 INFO  manager.MyListener - Element with locator-->By.cssSelector: div.element-list.collapse.show was found
17:20:31 INFO  tests.Base - Starts test named:--> fillStudentRegistrationForm
17:20:31 INFO  manager.MyListener - Start to find element with locator-->By.id: firstName
17:20:31 INFO  manager.MyListener - Element with locator-->By.id: firstName was found
17:20:31 INFO  manager.MyListener - Start to find element with locator-->By.id: lastName
17:20:31 INFO  manager.MyListener - Element with locator-->By.id: lastName was found
17:20:31 INFO  manager.MyListener - Start to find element with locator-->By.id: userEmail
17:20:32 INFO  manager.MyListener - Element with locator-->By.id: userEmail was found
17:20:32 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //label[@for='gender-radio-2']
17:20:32 INFO  manager.MyListener - Element with locator-->By.xpath: //label[@for='gender-radio-2'] was found
17:20:32 INFO  manager.MyListener - Start to find element with locator-->By.id: userNumber
17:20:32 INFO  manager.MyListener - Element with locator-->By.id: userNumber was found
17:20:33 INFO  manager.MyListener - Start to find element with locator-->By.id: dateOfBirthInput
17:20:33 INFO  manager.MyListener - Element with locator-->By.id: dateOfBirthInput was found
17:20:33 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: .react-datepicker__year-select
17:20:33 INFO  manager.MyListener - Element with locator-->By.cssSelector: .react-datepicker__year-select was found
17:20:33 INFO  manager.MyListener - Start to find element with locator-->By.xpath: .//option[@value = "2005"]
17:20:33 INFO  manager.MyListener - Element with locator-->By.xpath: .//option[@value = "2005"] was found
17:20:34 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: .react-datepicker__month-select
17:20:34 INFO  manager.MyListener - Element with locator-->By.cssSelector: .react-datepicker__month-select was found
17:20:34 INFO  manager.MyListener - Start to find element with locator-->By.xpath: .//option[@value = "MARCH"]
17:20:39 INFO  manager.MyListener - Element with locator-->By.xpath: .//option[@value = "MARCH"] was found
17:20:39 INFO  tests.Base - Finished test named:--> fillStudentRegistrationForm
