11:39:44 INFO  manager.ApplicationManager - All tests start in Chrome
11:39:57 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //h5[.='Interactions']
11:39:57 INFO  manager.MyListener - Element with locator-->By.xpath: //h5[.='Interactions'] was found
11:39:57 INFO  tests.Base - Starts test named:--> droppablePreventPropagation
11:39:57 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //li[.='Droppable']
11:39:58 INFO  manager.MyListener - Element with locator-->By.xpath: //li[.='Droppable'] was found
11:39:59 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //*[.='Prevent Propogation']
11:39:59 INFO  manager.MyListener - Element with locator-->By.xpath: //*[.='Prevent Propogation'] was found
11:39:59 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //*[.='Inner droppable (greedy)']
11:39:59 INFO  manager.MyListener - Element with locator-->By.xpath: //*[.='Inner droppable (greedy)'] was found
11:39:59 INFO  manager.MyListener - Start to find element with locator-->By.id: dragBox
11:39:59 INFO  manager.MyListener - Element with locator-->By.id: dragBox was found
11:40:00 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //*[.='Dropped!']
11:40:00 INFO  manager.MyListener - Element with locator-->By.xpath: //*[.='Dropped!'] was found
11:40:02 INFO  tests.Base - Finished test named:--> droppablePreventPropagation
11:40:02 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: a[href='https://demoqa.com']
11:40:02 INFO  manager.MyListener - Element with locator-->By.cssSelector: a[href='https://demoqa.com'] was found
