19:59:23 INFO  manager.ApplicationManager - All tests start in Chrome
19:59:27 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //h5[.='Interactions']
19:59:27 INFO  manager.MyListener - Element with locator-->By.xpath: //h5[.='Interactions'] was found
19:59:28 INFO  tests.Base - Starts test named:--> droppable
19:59:28 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //li[.='Droppable']
19:59:28 INFO  manager.MyListener - Element with locator-->By.xpath: //li[.='Droppable'] was found
19:59:28 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: div[id='draggable']
19:59:28 INFO  manager.MyListener - Element with locator-->By.cssSelector: div[id='draggable'] was found
19:59:28 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: div#simpleDropContainer div#droppable
19:59:28 INFO  manager.MyListener - Element with locator-->By.cssSelector: div#simpleDropContainer div#droppable was found
19:59:30 INFO  tests.Base - Finished test named:--> droppable
