19:45:38 INFO  manager.ApplicationManager - All tests start in Chrome
19:45:42 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //h5[.='Interactions']
19:45:42 INFO  manager.MyListener - Element with locator-->By.xpath: //h5[.='Interactions'] was found
19:45:43 INFO  tests.Base - Starts test named:--> droppable
19:45:43 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //li[.='Droppable']
19:45:43 INFO  manager.MyListener - Element with locator-->By.xpath: //li[.='Droppable'] was found
19:45:43 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: div[id='draggable']
19:45:43 INFO  manager.MyListener - Element with locator-->By.cssSelector: div[id='draggable'] was found
19:45:43 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: div[id='droppable']
19:45:43 INFO  manager.MyListener - Element with locator-->By.cssSelector: div[id='droppable'] was found
19:45:45 INFO  tests.Base - Finished test named:--> droppable
