20:53:00 INFO  manager.ApplicationManager - All tests start in Chrome
20:53:05 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //h5[.='Widgets']
20:53:05 INFO  manager.MyListener - Element with locator-->By.xpath: //h5[.='Widgets'] was found
20:53:05 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //li[.='Select Menu']
20:53:05 INFO  manager.MyListener - Element with locator-->By.xpath: //li[.='Select Menu'] was found
20:53:05 INFO  tests.Base - Starts test named:--> multiselectDropDownTest
20:53:05 INFO  manager.MyListener - Start to find element with locator-->By.xpath: (//div[@class=' css-2b097c-container'])[3]
20:53:05 INFO  manager.MyListener - Element with locator-->By.xpath: (//div[@class=' css-2b097c-container'])[3] was found
20:53:07 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //*[.='Red']
20:53:08 INFO  manager.MyListener - Element with locator-->By.xpath: //*[.='Red'] was found
20:53:10 INFO  manager.MyListener - Start to find element with locator-->By.xpath: (//div[@class=' css-2b097c-container'])[3]
20:53:10 INFO  manager.MyListener - Element with locator-->By.xpath: (//div[@class=' css-2b097c-container'])[3] was found
20:53:10 INFO  tests.Base - Finished test named:--> multiselectDropDownTest
