14:58:50 INFO  manager.ApplicationManager - All tests start in Chrome
14:59:08 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //h5[.='Elements']
14:59:08 INFO  manager.MyListener - Element with locator-->By.xpath: //h5[.='Elements'] was found
14:59:09 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //span[.='Buttons']
14:59:09 INFO  manager.MyListener - Element with locator-->By.xpath: //span[.='Buttons'] was found
14:59:17 INFO  tests.Base - Starts test named:--> clicks
14:59:17 INFO  manager.MyListener - Start to find element with locator-->By.id: doubleClickBtn
14:59:18 INFO  manager.MyListener - Element with locator-->By.id: doubleClickBtn was found
14:59:18 INFO  manager.MyListener - Start to find element with locator-->By.id: doubleClickMessage
14:59:18 INFO  manager.MyListener - Element with locator-->By.id: doubleClickMessage was found
14:59:18 INFO  manager.MyListener - Start to find element with locator-->By.id: rightClickBtn
14:59:18 INFO  manager.MyListener - Element with locator-->By.id: rightClickBtn was found
14:59:18 INFO  manager.MyListener - Start to find element with locator-->By.id: rightClickMessage
14:59:18 INFO  manager.MyListener - Element with locator-->By.id: rightClickMessage was found
14:59:18 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //button[.='Click Me']
14:59:18 INFO  manager.MyListener - Element with locator-->By.xpath: //button[.='Click Me'] was found
14:59:19 INFO  manager.MyListener - Start to find element with locator-->By.id: dynamicClickMessage
14:59:19 INFO  manager.MyListener - Element with locator-->By.id: dynamicClickMessage was found
14:59:19 INFO  tests.Base - Finished test named:--> clicks
14:59:19 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: a[href='https://demoqa.com']
14:59:19 INFO  manager.MyListener - Element with locator-->By.cssSelector: a[href='https://demoqa.com'] was found
14:59:24 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //h5[.='Interactions']
14:59:24 INFO  manager.MyListener - Element with locator-->By.xpath: //h5[.='Interactions'] was found
14:59:25 INFO  tests.Base - Starts test named:--> droppable
14:59:25 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //li[.='Droppable']
14:59:25 INFO  manager.MyListener - Element with locator-->By.xpath: //li[.='Droppable'] was found
14:59:25 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: div[id='draggable']
14:59:25 INFO  manager.MyListener - Element with locator-->By.cssSelector: div[id='draggable'] was found
14:59:25 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: div#simpleDropContainer div#droppable
14:59:25 INFO  manager.MyListener - Element with locator-->By.cssSelector: div#simpleDropContainer div#droppable was found
14:59:30 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //p[.='Dropped!']
14:59:30 INFO  manager.MyListener - Element with locator-->By.xpath: //p[.='Dropped!'] was found
14:59:38 INFO  tests.Base - Finished test named:--> droppable
14:59:38 INFO  tests.Base - Starts test named:--> droppable2
14:59:38 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: div[id='draggable']
14:59:38 INFO  manager.MyListener - Element with locator-->By.cssSelector: div[id='draggable'] was found
14:59:38 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: div#simpleDropContainer div#droppable
14:59:38 INFO  manager.MyListener - Element with locator-->By.cssSelector: div#simpleDropContainer div#droppable was found
14:59:39 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //p[.='Dropped!']
14:59:39 INFO  manager.MyListener - Element with locator-->By.xpath: //p[.='Dropped!'] was found
14:59:50 INFO  tests.Base - Finished test named:--> droppable2
14:59:50 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: a[href='https://demoqa.com']
14:59:50 INFO  manager.MyListener - Element with locator-->By.cssSelector: a[href='https://demoqa.com'] was found
