18:25:29 INFO  manager.ApplicationManager - All tests start in Chrome
18:26:36 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //h5[.='Widgets']
18:26:36 INFO  manager.MyListener - Element with locator-->By.xpath: //h5[.='Widgets'] was found
18:26:37 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //li[.='Select Menu']
18:26:37 INFO  manager.MyListener - Element with locator-->By.xpath: //li[.='Select Menu'] was found
18:26:39 INFO  tests.Base - Starts test named:--> testStandartMultiSelect
18:26:39 INFO  manager.MyListener - Start to find element with locator-->By.id: cars
18:26:39 INFO  manager.MyListener - Element with locator-->By.id: cars was found
18:26:40 INFO  manager.MyListener - Start to find element with locator-->By.xpath: .//option[@value = "volvo"]
18:26:40 INFO  manager.MyListener - Element with locator-->By.xpath: .//option[@value = "volvo"] was found
18:26:40 INFO  manager.MyListener - Start to find element with locator-->By.xpath: .//option[@value = "saab"]
18:26:41 INFO  manager.MyListener - Element with locator-->By.xpath: .//option[@value = "saab"] was found
18:26:41 INFO  manager.MyListener - Start to find element with locator-->By.xpath: .//option[@value = "opel"]
18:26:41 INFO  manager.MyListener - Element with locator-->By.xpath: .//option[@value = "opel"] was found
18:26:41 INFO  tests.Base - Finished test named:--> testStandartMultiSelect
