18:01:37 INFO  manager.ApplicationManager - All tests start in Chrome
18:02:31 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //h5[.='Elements']
18:02:32 INFO  manager.MyListener - Element with locator-->By.xpath: //h5[.='Elements'] was found
18:02:33 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //span[.='Buttons']
18:02:33 INFO  manager.MyListener - Element with locator-->By.xpath: //span[.='Buttons'] was found
18:02:41 INFO  tests.Base - Starts test named:--> doubleClick
18:02:41 INFO  manager.MyListener - Start to find element with locator-->By.id: doubleClickBtn
18:02:41 INFO  manager.MyListener - Element with locator-->By.id: doubleClickBtn was found
18:02:42 INFO  manager.MyListener - Start to find element with locator-->By.id: doubleClickMessage
18:02:42 INFO  manager.MyListener - Element with locator-->By.id: doubleClickMessage was found
18:02:42 INFO  tests.Base - Finished test named:--> doubleClick
