18:09:10 INFO  manager.ApplicationManager - All tests start in Chrome
18:10:21 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //h5[.='Widgets']
18:10:21 INFO  manager.MyListener - Element with locator-->By.xpath: //h5[.='Widgets'] was found
18:10:22 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //li[.='Select Menu']
18:10:22 INFO  manager.MyListener - Element with locator-->By.xpath: //li[.='Select Menu'] was found
18:10:24 INFO  tests.Base - Starts test named:--> testStandartMultiSelect
18:10:24 INFO  manager.MyListener - Start to find element with locator-->By.id: cars
18:10:25 INFO  manager.MyListener - Element with locator-->By.id: cars was found
18:10:26 INFO  manager.MyListener - Start to find element with locator-->By.xpath: .//option[@value = "volvo"]
18:10:26 INFO  manager.MyListener - Element with locator-->By.xpath: .//option[@value = "volvo"] was found
18:10:27 INFO  manager.MyListener - Start to find element with locator-->By.xpath: .//option[@value = "saab"]
18:10:27 INFO  manager.MyListener - Element with locator-->By.xpath: .//option[@value = "saab"] was found
18:10:27 INFO  manager.MyListener - Start to find element with locator-->By.xpath: .//option[@value = "opel"]
18:10:28 INFO  manager.MyListener - Element with locator-->By.xpath: .//option[@value = "opel"] was found
18:10:28 INFO  tests.Base - Finished test named:--> testStandartMultiSelect
