16:57:41 INFO  manager.ApplicationManager - All tests start in Chrome
16:58:35 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //h5[.='Widgets']
16:58:36 INFO  manager.MyListener - Element with locator-->By.xpath: //h5[.='Widgets'] was found
16:58:36 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //li[.='Select Menu']
16:58:37 INFO  manager.MyListener - Element with locator-->By.xpath: //li[.='Select Menu'] was found
16:58:46 INFO  tests.Base - Starts test named:--> multiselectDropDownTest
16:58:46 INFO  manager.MyListener - Start to find element with locator-->By.xpath: (//div[@class=' css-2b097c-container'])[3]
16:58:47 INFO  manager.MyListener - Element with locator-->By.xpath: (//div[@class=' css-2b097c-container'])[3] was found
16:58:49 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //div[.='Red']
16:58:50 INFO  manager.MyListener - Element with locator-->By.xpath: //div[.='Red'] was found
16:58:52 INFO  manager.MyListener - Start to find element with locator-->By.xpath: (//div[@class=' css-2b097c-container'])[3]
16:58:52 INFO  manager.MyListener - Element with locator-->By.xpath: (//div[@class=' css-2b097c-container'])[3] was found
16:58:52 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //div[.='Green']
16:58:52 INFO  manager.MyListener - Element with locator-->By.xpath: //div[.='Green'] was found
16:58:55 INFO  manager.MyListener - Start to find element with locator-->By.xpath: (//div[@class=' css-2b097c-container'])[3]
16:58:55 INFO  manager.MyListener - Element with locator-->By.xpath: (//div[@class=' css-2b097c-container'])[3] was found
16:58:55 INFO  tests.Base - Finished test named:--> multiselectDropDownTest
