14:56:36 INFO  manager.ApplicationManager - All tests start in Chrome
14:56:54 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //h5[.='Interactions']
14:56:54 INFO  manager.MyListener - Element with locator-->By.xpath: //h5[.='Interactions'] was found
14:56:54 INFO  tests.Base - Starts test named:--> droppable
14:56:54 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //li[.='Droppable']
14:56:55 INFO  manager.MyListener - Element with locator-->By.xpath: //li[.='Droppable'] was found
14:56:58 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: div[id='draggable']
14:56:58 INFO  manager.MyListener - Element with locator-->By.cssSelector: div[id='draggable'] was found
14:56:58 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: div#simpleDropContainer div#droppable
14:56:58 INFO  manager.MyListener - Element with locator-->By.cssSelector: div#simpleDropContainer div#droppable was found
14:56:58 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //p[.='Dropped!']
14:56:58 INFO  manager.MyListener - Element with locator-->By.xpath: //p[.='Dropped!'] was found
14:57:06 INFO  tests.Base - Finished test named:--> droppable
14:57:06 INFO  tests.Base - Starts test named:--> droppable2
14:57:06 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: div[id='draggable']
14:57:06 INFO  manager.MyListener - Element with locator-->By.cssSelector: div[id='draggable'] was found
14:57:06 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: div#simpleDropContainer div#droppable
14:57:06 INFO  manager.MyListener - Element with locator-->By.cssSelector: div#simpleDropContainer div#droppable was found
14:57:08 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //p[.='Dropped!']
14:57:08 INFO  manager.MyListener - Element with locator-->By.xpath: //p[.='Dropped!'] was found
14:57:08 INFO  tests.Base - Finished test named:--> droppable2
14:57:08 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: a[href='https://demoqa.com']
14:57:22 INFO  manager.MyListener - Element with locator-->By.cssSelector: a[href='https://demoqa.com'] was found
